MESE;ANNO;OWNER;COD;CLIENTE;VENDITA;ACQUISTO MATERIALE;SPEDIZIONE UTAX;TRASPORTATORE CRISTIAN;INSTALLAZIONE;COSTO COPIE + ASSISTENZA INFORMATICA;TOP UP;TOTALE COSTI;MARGINE LORDO;"ML/Rev
 (%)";"TSP ML
(%)";"TSP ML
(Euro)";PROVV. COMM.LE;PAGATA;NOTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;FATTURATO;1;;116.442,75 €;56.882,54 €;461,84 €;370,00 €;1.950,00 €;8.483,37 €;10.784,66 €;78.932,41 €;37.510,34 €;;;20.858,95 €;16.651,40 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;OK FINANZIARIA;2;;6.161,12 €;2.410,00 €;39,80 €;120,00 €;150,00 €;1.313,40 €;720,00 €;4.753,20 €;1.407,92 €;;;1.267,13 €;140,79 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CONTRATTO;3;;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;0,00 €;0,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTALE 1+2;;;;;122.603,87 €;59.292,54 €;501,64 €;490,00 €;2.100,00 €;9.796,77 €;11.504,66 €;83.685,61 €;38.918,26 €;31,74%;56,85%;22.126,08 €;16.792,19 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;TOTALE 1+2+3;122.603,87 €;59.292,54 €;501,64 €;490,00 €;2.100,00 €;9.796,77 €;11.504,66 €;83.685,61 €;38.918,26 €;31,74%;56,85%;22.126,08 €;16.792,19 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FEBBRAIO;2025;FABRIZIO;1;COLPER SRL;4.591,25 €;2.200,00 €;39,80 €;140,00 €;200,00 €;;;2.579,80 €;2.011,45 €;43,81%;60%;1.206,87 €;1.005,73 €; X ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FEBBRAIO;2025;FABRIZIO;1;VISTA MASTER;4.680,10 €;2.200,00 €;32,80 €;;200,00 €;;;2.432,80 €;2.247,30 €;48,02%;64%;1.438,27 €;1.123,65 €; X ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FEBBRAIO;2025;NINO;1;SAERTEC;6.801,90 €;1.710,00 €;39,80 €;150,00 €;100,00 €;750,00 €;1.700,00 €;4.449,80 €;2.352,10 €;34,58%;50%;1.176,05 €;1.176,05 €; X ;;provvigioni riconosciute a Nino 1000 - dare differenza € 176,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FEBBRAIO;2025;NINO;1;URBAN SERVICE;9.681,45 €;1.710,00 €;39,80 €;;100,00 €;;3.327,17 €;5.176,97 €;4.504,48 €;46,53%;50%;2.252,24 €;2.252,24 €; X ;155€ finanziato - 31€ costo copia diretto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FEBBRAIO;2025;NINO;1;REAC;29.641,20 €;26.600,00 €;;;;;;26.600,00 €;3.041,20 €;10,26%;50%;1.520,60 €;1.520,60 €; X ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
